GeoType,CDTAType,GeogName,GeoID,Borough,Pop_1E,Pop_1M,Pop_1C,Pop_1P,Pop_1Z,MaleE,MaleM,MaleC,MaleP,MaleZ,FemE,FemM,FemC,FemP,FemZ,PopU181E,PopU181M,PopU181C,PopU181P,PopU181Z,Pop65pl1E,Pop65pl1M,Pop65pl1C,Pop65pl1P,Pop65pl1Z,MdAgeE,MdAgeM,MdAgeC,Pop_2E,Pop_2M,Pop_2C,Pop_2P,Pop_2Z,Hsp1E,Hsp1M,Hsp1C,Hsp1P,Hsp1Z,NHspE,NHspM,NHspC,NHspP,NHspZ,WtNHE,WtNHM,WtNHC,WtNHP,WtNHZ,BlNHE,BlNHM,BlNHC,BlNHP,BlNHZ,AIANNHE,AIANNHM,AIANNHC,AIANNHP,AIANNHZ,AsnNHE,AsnNHM,AsnNHC,AsnNHP,AsnNHZ,NHPINHE,NHPINHM,NHPINHC,NHPINHP,NHPINHZ,OthNHE,OthNHM,OthNHC,OthNHP,OthNHZ,Rc2plNHE,Rc2plNHM,Rc2plNHC,Rc2plNHP,Rc2plNHZ
CDTA2020,CD,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),311,Brooklyn,"182,754","4,579",1.5,100.0,0.0,"89,124","2,532",1.7,48.8,0.7,"93,630","2,872",1.9,51.2,0.9,"40,796","2,183",3.3,22.3,1.1,"31,510","1,506",2.9,17.2,0.7,40.5,0.6,0.8,"182,754","4,579",1.5,100.0,0.0,"29,890","2,655",5.4,16.4,1.4,"152,864","4,283",1.7,83.6,1.0,"69,395","3,145",2.8,38.0,1.4,"2,614",611,14.2,1.4,0.3,404,216,32.4,0.2,0.1,"73,551","3,309",2.7,40.2,1.5,72,85,71.7,0.0,0.0,"1,092",578,32.2,0.6,0.3,"5,736","1,210",12.8,3.1,0.7
CDTA2020,CD,BK12 Borough Park-Kensington (CD 12 Approximation),312,Brooklyn,"194,695","5,740",1.8,100.0,0.0,"98,935","3,295",2.0,50.8,0.8,"95,760","3,191",2.0,49.2,0.8,"71,216","3,612",3.1,36.6,1.5,"23,821","1,384",3.5,12.2,0.6,28.9,0.6,1.2,"194,695","5,740",1.8,100.0,0.0,"25,516","2,347",5.6,13.1,1.1,"169,179","5,607",2.0,86.9,1.3,"119,272","5,039",2.6,61.3,1.9,"6,011","1,369",13.8,3.1,0.7,226,164,44.0,0.1,0.1,"34,025","2,575",4.6,17.5,1.2,0,,,,,"4,983","1,258",15.3,2.6,0.6,"4,662",865,11.3,2.4,0.4
CDTA2020,CD,BK13 Coney Island-Brighton Beach (CD 13 Approximation),313,Brooklyn,"110,145","4,082",2.3,100.0,0.0,"50,743","2,389",2.9,46.1,1.3,"59,402","2,602",2.7,53.9,1.3,"22,795","2,051",5.5,20.7,1.7,"29,108","1,432",3.0,26.4,0.9,46.1,0.9,1.2,"110,145","4,082",2.3,100.0,0.0,"16,458","2,394",8.8,14.9,2.1,"93,687","3,803",2.5,85.1,1.4,"60,145","2,927",3.0,54.6,1.7,"14,201","2,452",10.5,12.9,2.2,166,159,58.4,0.2,0.1,"14,485","1,647",6.9,13.2,1.4,52,67,78.2,0.0,0.1,233,139,36.3,0.2,0.1,"4,405","1,154",15.9,4.0,1.0
CDTA2020,CD,BK14 Flatbush-Midwood (CD 14 Approximation),314,Brooklyn,"159,561","4,681",1.8,100.0,0.0,"78,012","2,948",2.3,48.9,1.2,"81,549","2,650",2.0,51.1,0.7,"36,089","2,235",3.8,22.6,1.2,"25,114","1,262",3.1,15.7,0.6,37.4,0.6,0.9,"159,561","4,681",1.8,100.0,0.0,"25,020","2,417",5.9,15.7,1.4,"134,541","4,472",2.0,84.3,1.3,"59,335","2,764",2.8,37.2,1.3,"47,976","3,230",4.1,30.1,1.8,95,86,54.8,0.1,0.1,"18,542","1,989",6.5,11.6,1.2,101,75,45.1,0.1,0.0,"1,523",481,19.2,1.0,0.3,"6,969",990,8.6,4.4,0.6
CDTA2020,CD,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315,Brooklyn,"156,462","3,993",1.6,100.0,0.0,"76,257","2,379",1.9,48.7,0.9,"80,205","2,306",1.7,51.3,0.7,"35,489","1,958",3.4,22.7,1.1,"31,721","1,284",2.5,20.3,0.6,41.6,0.8,1.1,"156,462","3,993",1.6,100.0,0.0,"14,948","1,880",7.6,9.6,1.2,"141,514","3,786",1.6,90.4,0.7,"97,338","3,420",2.1,62.2,1.5,"7,566","1,123",9.0,4.8,0.7,288,188,39.7,0.2,0.1,"29,117","1,832",3.8,18.6,1.1,87,107,74.5,0.1,0.1,"1,529",650,25.8,1.0,0.4,"5,589",984,10.7,3.6,0.6
CDTA2020,CD,BK16 Ocean Hill-Brownsville (CD 16 Approximation),316,Brooklyn,"97,145","3,744",2.3,100.0,0.0,"43,246","2,298",3.2,44.5,1.6,"53,899","2,482",2.8,55.5,1.4,"23,171","1,963",5.1,23.9,1.8,"11,932","1,055",5.4,12.3,1.0,34.1,0.6,1.1,"97,145","3,744",2.3,100.0,0.0,"23,303","2,486",6.5,24.0,2.4,"73,842","3,319",2.7,76.0,1.8,"5,177","1,020",12.0,5.3,1.0,"61,685","3,302",3.3,63.5,2.4,258,180,42.3,0.3,0.2,"1,561",541,21.1,1.6,0.6,0,,,,,564,324,34.9,0.6,0.3,"4,597","1,130",14.9,4.7,1.1
CDTA2020,CD,BK17 East Flatbush (CD 17 Approximation),317,Brooklyn,"157,180","4,778",1.8,100.0,0.0,"71,719","2,780",2.4,45.6,1.1,"85,461","2,944",2.1,54.4,0.9,"30,253","2,258",4.5,19.2,1.3,"27,913","1,265",2.8,17.8,0.6,40.0,0.6,1.0,"157,180","4,778",1.8,100.0,0.0,"11,788","1,611",8.3,7.5,1.0,"145,392","4,701",2.0,92.5,1.0,"7,139","1,254",10.7,4.5,0.8,"121,788","4,434",2.2,77.5,1.6,214,160,45.6,0.1,0.1,"2,782",532,11.6,1.8,0.3,30,44,89.2,0.0,0.0,"1,443",652,27.5,0.9,0.4,"11,996","1,918",9.7,7.6,1.2
CDTA2020,CD,BK18 Canarsie-Flatlands (CD 18 Approximation),318,Brooklyn,"192,709","4,498",1.4,100.0,0.0,"89,852","2,632",1.8,46.6,0.8,"102,857","2,637",1.6,53.4,0.6,"41,240","2,147",3.2,21.4,1.0,"37,311","1,534",2.5,19.4,0.7,41.7,0.6,0.9,"192,709","4,498",1.4,100.0,0.0,"16,687","1,751",6.4,8.7,0.9,"176,022","4,477",1.5,91.3,0.9,"41,049","2,199",3.3,21.3,1.0,"112,580","3,955",2.1,58.4,1.5,151,131,52.7,0.1,0.1,"10,909","1,138",6.3,5.7,0.6,39,52,81.3,0.0,0.0,"1,720",531,18.8,0.9,0.3,"9,574","1,339",8.5,5.0,0.7
CDTA2020,JIA,BK55 Prospect Park (JIA 55 Approximation),355,Brooklyn,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
CDTA2020,JIA,BK56 Jamaica Bay (West) (JIA 56 Approximation),356,Brooklyn,13,19,88.8,100.0,0.0,13,19,88.8,100.0,0.0,0,,,,,0,,,,,0,,,,,43.6,,,13,19,88.8,100.0,0.0,4,7,106.4,30.8,29.6,9,12,81.1,69.2,137.0,9,12,81.1,69.2,137.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
CDTA2020,CD,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),201,Bronx,"96,910","3,782",2.4,100.0,0.0,"44,586","2,377",3.2,46.0,1.7,"52,324","2,403",2.8,54.0,1.3,"26,243","2,127",4.9,27.1,1.9,"11,358","1,017",5.4,11.7,0.9,33.1,0.6,1.1,"96,910","3,782",2.4,100.0,0.0,"66,241","3,807",3.5,68.4,2.9,"30,669","2,071",4.1,31.6,1.7,"2,130",528,15.1,2.2,0.5,"25,702","1,972",4.7,26.5,1.8,55,132,145.9,0.1,0.1,600,239,24.2,0.6,0.2,502,202,24.5,0.5,0.2,493,372,45.8,0.5,0.4,"1,187",455,23.3,1.2,0.5
CDTA2020,CD,BX02 Longwood-Hunts Point (CD 2 Approximation),202,Bronx,"55,126","2,821",3.1,100.0,0.0,"26,343","1,976",4.6,47.8,2.6,"28,783","1,593",3.4,52.2,1.1,"15,106","1,442",5.8,27.4,2.2,"6,602",652,6.0,12.0,1.0,33.5,1.0,1.8,"55,126","2,821",3.1,100.0,0.0,"39,788","2,716",4.1,72.2,3.3,"15,338","1,632",6.5,27.8,2.6,797,296,22.5,1.4,0.5,"12,976","1,537",7.2,23.5,2.5,311,274,53.5,0.6,0.5,205,147,43.6,0.4,0.3,0,,,,,448,311,42.3,0.8,0.6,601,283,28.6,1.1,0.5
CDTA2020,CD,BX03 Morrisania-Crotona Park East (CD 3 Approximation),203,Bronx,"87,924","3,682",2.5,100.0,0.0,"40,822","2,283",3.4,46.4,1.7,"47,102","2,314",3.0,53.6,1.4,"23,835","1,952",5.0,27.1,1.9,"10,154","1,035",6.2,11.5,1.1,34.1,0.7,1.3,"87,924","3,682",2.5,100.0,0.0,"46,737","3,000",3.9,53.2,2.6,"41,187","2,899",4.3,46.8,2.6,"1,341",401,18.2,1.5,0.5,"35,842","3,032",5.1,40.8,3.0,81,78,58.8,0.1,0.1,611,419,41.7,0.7,0.5,0,,,,,836,503,36.6,1.0,0.6,"2,476",881,21.6,2.8,1.0
CDTA2020,CD,BX04 Highbridge-Concourse (CD 4 Approximation),204,Bronx,"149,631","4,905",2.0,100.0,0.0,"70,612","3,237",2.8,47.2,1.5,"79,019","3,178",2.4,52.8,1.2,"38,810","2,568",4.0,25.9,1.5,"17,818","1,414",4.8,11.9,0.9,34.5,0.5,0.9,"149,631","4,905",2.0,100.0,0.0,"88,090","4,439",3.1,58.9,2.3,"61,541","3,862",3.8,41.1,2.2,"6,728","1,432",12.9,4.5,0.9,"49,346","3,683",4.5,33.0,2.2,500,363,44.1,0.3,0.2,"1,733",549,19.3,1.2,0.4,0,,,,,"1,194",505,25.7,0.8,0.3,"2,040",515,15.3,1.4,0.3
